Date,Colony,sub,Treatment,Treated.leaf,Hour,Forager.age,LS,HH,,,,,,,,
20190713,Brooklyn,2,II,HH,0,Young,5,4,,,,,,,,
20190713,Brooklyn,2,II,HH,1,Old,0,0,,,,,,,,
20190713,Brooklyn,2,II,HH,1,Young,5,22,,,,,,,,
20190713,Brooklyn,2,II,HH,2,Old,0,0,,,,,,,,
20190713,Brooklyn,2,II,HH,2,Young,4,10,,,,,,,,
20190713,Brooklyn,2,II,HH,3,Old,0,0,,,,,,,,
20190713,Brooklyn,2,II,HH,3,Young,5,9,,,,,,,,
20190713,Brooklyn,2,II,HH,4,Old,0,0,,,,,,,,
20190713,Brooklyn,2,II,HH,4,Young,1,13,,,,,,,,
20190713,Brooklyn,2,II,HH,5,Old,3,0,,,,,,,,
20190713,Brooklyn,2,II,HH,5,Young,12,24,,,,,,,,
20190713,Brooklyn,2,II,HH,6,Old,2,0,,,,,,,,
20190713,Brooklyn,2,II,HH,6,Young,15,45,,,,,,,,
20190713,Brooklyn,2,II,HH,7,Old,6,2,,,,,,,,
20190713,Brooklyn,2,II,HH,7,Young,9,30,,,,,,,,
20190713,Brooklyn,2,II,HH,7.5,Old,3,1,,,,,,,,
20190713,Brooklyn,2,II,HH,7.5,Young,3,9,,,,,,,,
20190715,Scarlett,2,II,LS,0,Old,0,0,,,,,,,,
20190715,Scarlett,2,II,LS,0,Young,4,6,,,,,,,,
20190715,Scarlett,2,II,LS,1,Old,0,1,,,,,,,,
20190715,Scarlett,2,II,LS,1,Young,42,19,,,,,,,,
20190715,Scarlett,2,II,LS,2,Old,5,7,,,,,,,,
20190715,Scarlett,2,II,LS,2,Young,55,23,,,,,,,,
20190715,Scarlett,2,II,LS,3,Old,2,4,,,,,,,,
20190715,Scarlett,2,II,LS,3,Young,41,21,,,,,,,,
20190715,Scarlett,2,II,LS,4,Old,1,1,,,,,,,,
20190715,Scarlett,2,II,LS,4,Young,57,13,,,,,,,,
20190715,Scarlett,2,II,LS,5,Old,0,1,,,,,,,,
20190715,Scarlett,2,II,LS,5,Young,27,23,,,,,,,,
20190715,Scarlett,2,II,LS,6,Old,2,1,,,,,,,,
20190715,Scarlett,2,II,LS,6,Young,40,23,,,,,,,,
